домен	платформа	канал	запитів	знайдено	не_картки	прийнято	відхилено	фото%	колір%	склад%	розміри%	опис%	заміри%	жін	чол	уні	с	стан
skripka.com.ua	невідомо	нема	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	ЗАБЛОКОВАНО ботозаслоном (HTTP 403) — не пустив навіть з відбитком Chrome; потрібен домашній IP (не дата-центр)
solmar.com.ua	Bitrix	мапа сайту	14	3	0	0	7	0	0	0	0	0	0	0	0	0	29	нуль прийнятих
staff-clothes.com	невідомо	нема	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	ЗАБЛОКОВАНО ботозаслоном (HTTP 403) — не пустив навіть з відбитком Chrome; потрібен домашній IP (не дата-центр)
stolyarchuk.com.ua	OpenCart	мапа сайту	6	3	0	0	3	0	0	0	0	0	0	0	0	0	14	нуль прийнятих
sunwin-store.com	generator:WordPress 7.1+WordPress/Woo+OpenCart+Magento+Squarespace	woo	3	100	0	3	0	100	100	100	100	100	0	3	0	0	6	ок
theoriginals.com.ua	невідомо	нема	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	ЗАБЛОКОВАНО ботозаслоном (HTTP 403) — не пустив навіть з відбитком Chrome; потрібен домашній IP (не дата-центр)
tm-beart.com	generator:WordPress 7.1+WordPress/Woo	woo+через відбиток Chrome	5	100	0	3	0	100	100	67	100	33	0	3	0	0	15	ок
twice.com.ua	PrestaShop	мапа сайту	7	3	1	2	0	100	50	0	100	100	0	2	0	0	14	ок
vilni.store	Хорошоп	мапа сайту	9	3	3	0	0	0	0	0	0	0	0	0	0	0	12	нуль прийнятих
virna.ua	невідомо	мапа сайту	27	3	3	0	0	0	0	0	0	0	0	0	0	0	25	нуль прийнятих
vittorossi.ua	Bitrix	мапа сайту	12	3	2	0	1	0	0	0	0	0	0	0	0	0	34	нуль прийнятих
vmma.com.ua	OpenCart	розділи	27	3	3	0	0	0	0	0	0	0	0	0	0	0	26	нуль прийнятих
voronin.ua	невідомо	нема	31	0	0	0	0	0	0	0	0	0	0	0	0	0	25	нуль прийнятих
vovk.com	OpenCart	мапа сайту	11	3	1	1	1	100	100	100	100	100	100	1	0	0	55	ок
vsisvoi.ua	невідомо	мапа сайту	10	3	1	0	6	0	0	0	0	0	0	0	0	0	13	нуль прийнятих
wearme.ua	Shopify	shopify	4	250	0	1	4	100	100	0	100	100	0	1	0	0	5	ок
welfare.ua	OpenCart	мапа сайту	26	3	3	0	0	0	0	0	0	0	0	0	0	0	24	нуль прийнятих
yakfaino.com	generator:Weblium, effortless website bu	мапа сайту	9	3	3	0	0	0	0	0	0	0	0	0	0	0	12	нуль прийнятих
yulashop.com.ua	Хорошоп	мапа сайту	9	3	1	0	3	0	0	0	0	0	0	0	0	0	11	нуль прийнятих
