домен	платформа	головна_код	головна_байт	головна_заслон	головна_секунд	розділ_url	розділ_заслон	речей_на_сторінці	кандидатів_карток	пагінація	картка_url	картка_ld	картка_og	картка_ціна	картка_характеристик	картка_фото	картка_розмірів	картка_склад	назва	назва_російська	мова_html	hreflang	sitemap	products_json	wc_store	фіди	мережа_json	секунд	помилки
bella-bicchi.com	Bitrix,Хост:cloudflare	200	1032804	ні	15.2	https://bella-bicchi.com/catalog/zhinochi-palto/	ні	0	34	/page-12,/page-2,/page-3,?p=167138+ще	https://bella-bicchi.com/catalog/zhinoche-palto-stella-polare-122344/	True	True	True	36	44	358	False	Жіноче класичне вовняне пальто з ґудзиками, осінь-весна Stella Polare (коричневий, 42)	False	ua	en,ro,ru,uk,x-default	200/4/індекс	404/-	404/-	0	16	30.5	
cooshwear.com	Next.js,Хост:cloudflare	200	241971	ні	3.6	https://cooshwear.com/product-category/bags	ні	9	17	+ще	https://cooshwear.com/product/coosh-tote-bag-in-leather-black	True	True	True	2	16	144	False	Сумка COOSH TOTE BAG шкіряна	False	uk	en,pl,uk,x-default	200/2103	404/-	404/-	0	60	30.6	
pitaya.ua	Shopify	200	3843929	ні	9.8	https://pitaya.ua/collections/pants	ні	0	31		https://pitaya.ua/products/philadelphia	True	True	False	0	552	945	True	Купальник Philadelphia	False	uk		200/4/індекс	200/5	400/-	0	41	20.5	
emmeliedelage.com	Хорошоп,Хост:cloudflare	200	407920	ні	5.2	https://emmeliedelage.com/		27	31	+ще	https://emmeliedelage.com/kedy-blakytni-z-kvitamy-bloom/	False	True	True	0	61	32	False	Кеди блакитні з квітами BLOOM	False	uk		200/2/індекс	404/-	404/-	0	9	11.1	
nyni.shop	Shopify	200	1442078	ні	11.0	https://nyni.shop/uk/collections/dresses	ні	0	1	+ще	https://nyni.shop/uk	False	False	False							uk	en,uk,x-default	200/9/індекс	200/5	400/-	0	60	30.3	картка не знайдена серед 1 кандидатів
tm-beart.com	WooCommerce,WordPress,Хост:cloudflare	200	310187	ні	9.6	https://www.tm-beart.com/		8	18		https://www.tm-beart.com/product/bluza-zhinocha-batyst-blakytnyj-rukava-volany/	False	False	False							uk	en,en-GB,uk	403/0	403/-	403/-	2	1	78.7	картка не знайдена серед 18 кандидатів
maxa.ua	WooCommerce,WordPress,Magento,Хост:cloudflare	200	397194	ні	4.0	https://maxa.ua/		20	20		https://maxa.ua/suknya-balon-z-merezhyvom/	False	False	True	0	13	114	True	Сукня – балон з мереживом	False	uk	ru,uk,x-default	404/0	404/-	200/5	1	8	12.3	
25union.com.ua	OpenCart,Хост:cloudflare	200	219667	ні	3.5	https://25union.com.ua/		13	81	+ще	https://25union.com.ua/collections/rodovid-collection-autumn-2026/	True	False	True	0	96	15	False	Колекція Родовід від 25 Union	False	uk	en,ru,uk	200/18/індекс	404/-	404/-	0	3	8.7	
skripka.com.ua	Хост:cloudflare	403	28703	так	22.3																en-US		404/4/індекс	403/-	403/-	0	0	24.4	розділ не відкрився
likeangel.com.ua	WooCommerce,WordPress,Хост:cloudflare	200	505214	ні	4.3	https://likeangel.com.ua/		10	82		https://likeangel.com.ua/product/sorochka-kresh-tensel-rozhevyj/	True	True	False	22	23	126	True	Сорочка креш тенсел рожевий	False	uk		200/4/індекс	200/-	200/5	2	2	12.6	
