домен	платформа	канал	запитів	знайдено	не_картки	прийнято	відхилено	фото%	колір%	склад%	розміри%	опис%	заміри%	жін	чол	уні	с	стан
intimo.com.ua	невідомо	списки	117	488	1	19	67	100	5	100	100	100	0	5	13	1	562	СТЕЛЯ ЧАСУ МАГАЗИНУ: 19 речей, темп 19/5хв
musthave.ua	невідомо	списки+картки з розділів	339	215	57	230	21	100	90	61	100	61	0	230	0	0	1319	СТЕЛЯ ЧАСУ МАГАЗИНУ: 230 речей, темп 49/5хв
skripka.com.ua	generator:WordPress 7.0.5+WordPress/Woo	woo	15	565	0	455	114	100	90	77	84	99	0	352	102	1	48	ок
staff-clothes.com	невідомо	мапа сайту	3	1927	0	0	766	0	0	0	0	0	0	0	0	0	1685	ВИКЛЮЧЕНО: російська у 647 із 1793 назв (П9)
theoriginals.com.ua	OpenCart	розділи+списки	1337	1696	0	1185	84	100	68	100	93	100	0	1042	143	0	1200	ДЕДЛАЙН ПРОГОНУ: 1185 речей
welfare.ua	OpenCart	списки	84	56	0	25	31	100	100	100	100	100	0	25	0	0	145	ок
